year,month,date,title,frequency,type,country,field
1900,5,11,Hồ Đắc Di,annual,birthday,Vietnam,
1937,5,12,George Carlin,annual,birthday,United States,Comedy
1839,5,12,Tôn Thất Thuyết,annual,birthday,Vietnam,
1944,5,14,George Lucas,annual,birthday,United States,Director
1993,5,16,IU,annual,birthday,Korea,Singer
1749,5,17,Edward Jenner,annual,birthday,United Kingdom,Psysician
1970,5,18,Tina Fey,annual,birthday,United States,Comedy
1890,5,19,Hồ Chí Minh,annual,birthday,Vietnam,President
1921,5,21,Andrei Sakharov,annual,birthday,Russia,
1859,5,22,Arthur Conan Doyle,annual,birthday,United Kingdom,Literature
1927,5,26,Nguyễn Thị Bình,annual,birthday,Vietnam,
1908,5,28,Ian Fleming,annual,birthday,United Kingdom,Literature
1819,5,31,Walt Whitman,annual,birthday,United States,Literature
1949,6,1,Children’s Day,annual,celebration,International,
1987,6,7,Daniel Scheinert,annual,birthday,United States,Director
1928,6,13,John Forbes Nash Jr.,annual,birthday,United States,Economist
1215,6,15,Magna Carta was Sealed,annual,milestone,United Kingdom,
1723,6,16,Adam Smith,annual,baptism,United Kingdom,Economist
1963,6,21,Gosho Aoyama,annual,birthday,Japan,Mangaka
1912,6,23,Alan Turing,annual,birthday,United Kingdom,Mathematics
1564,6,24,William Shakespeare,annual,baptism,United Kingdom,Literature
1961,6,25,Ricky Gervais,annual,birthday,United Kingdom,Comedy
1903,6,25,George Orwell,annual,birthday,United Kingdom,Literature
1945,6,26,United Nations,annual,founded,International,
1880,6,27,Helen Keller,annual,birthday,United States,Activist
1972,6,28,Ngô Bảo Châu,annual,birthday,Vietnam,Mathematics
1712,6,28,Jean-Jacques Rousseau,annual,birthday,France,Philosophy
1900,6,29,Antoine de Saint-Exupéry,annual,birthday,France,Literature
1985,6,30,Michael Phelps,annual,birthday,United States,Swimmer
1915,7,1,Nguyễn Văn Linh,annual,birthday,Vietnam,
1822,7,1,Nguyễn Đình Chiểu,annual,birthday,Vietnam,
1908,7,2,Thurgood Marshall,annual,birthday,United States,Supreme Court Justice
1883,7,3,Franz Kafka,annual,birthday,Czech,Literature
1776,7,4,Independence Day,annual,holiday,United States,
1962,7,5,Independence Day,annual,holiday,Algeria,
1975,7,6,50 Cent,annual,birthday,United States,Rapper
2011,7,9,Independence Day,annual,holiday,South Sudan,
1930,7,15,Jacques Derrida,annual,birthday,France,Philosophy
1918,7,18,Nelson Mandela,annual,birthday,South Africa,President
-336,7,20,[General] Alexander the Great,annual,birthday,Macedon,
1969,7,20,First human landing on the Moon,annual,milestone,United States,
1899,7,21,Ernest Hemingway,annual,birthday,United States,Literature
1951,7,21,Robin Williams,annual,birthday,United States,Comedy
1910,7,23,Tạ Quang Bửu,annual,birthday,Vietnam,
1936,7,23,Anthony Kennedy,annual,birthday,United States,Supreme Court Justice
1897,7,24,Amelia Earhart,annual,birthday,United States,Pilot
1928,7,26,Stanley Kubrick,annual,birthday,United States,Director
1976,7,27,Demis Hassabis,annual,birthday,United Kingdom,Data Scientist
1958,7,29,NASA,annual,founded,United States,
1883,7,29,Benito Mussolini,annual,birthday,Italy,Prime Minister
1981,7,29,Fernando Alonso,annual,birthday,Spain,F1 Driver
1863,7,30,Henry Ford,annual,birthday,United States,Engineer
1970,7,30,Christopher Nolan,annual,birthday,United States,Director
1912,7,31,Milton Friedman,annual,birthday,United States,Economist
1965,7,31,J. K. Rowling,annual,birthday,United Kingdom,Literature
1980,7,31,Harry Potter,annual,birthday,United Kingdom,Fictional
1930,8,5,Neil Armstrong,annual,birthday,United States,Astronaut
1950,8,11,Steve Wozniak,annual,birthday,United States,Engineer
1769,8,15,Napoléon Bonaparte,annual,birthday,France,General
1963,8,15,Alejandro González Iñárritu,annual,birthday,United States,Director
1988,8,18,G-Dragon,annual,birthday,Korea,Rapper
1890,8,20,H. P. Lovecraft,annual,birthday,United States,Literature
1920,8,22,Ray Bradbury,annual,birthday,United States,Literature
1973,8,24,Dave Chappelle,annual,birthday,United States,Comedy
1911,8,25,Võ Nguyên Giáp,annual,birthday,Vietnam,General
1917,8,28,Jack Kirby,annual,birthday,United States,Comics
1986,8,29,Hajime Isayama,annual,birthday,Japan,Mangaka
1945,9,2,Independence Day,annual,holiday,Vietnam,
1963,9,3,Malcolm Gladwell,annual,birthday,Canada,Journalism
1872,9,9,Phan Châu Trinh,annual,birthday,Vietnam,
1828,9,9,Leo Tolstoy,annual,birthday,Russia,Literature
1428,9,10,Lê Lợi,annual,birthday,Vietnam,Monarch
1957,9,12,Hans Zimmer,annual,birthday,Germany,Music
1913,9,13,Trần Đại Nghĩa,annual,birthday,Vietnam,
1969,9,14,Bong Joon-ho,annual,birthday,Korea,Director
1890,9,15,Agatha Christie,annual,birthday,United Kingdom,Literature
1956,9,16,David Copperfield,annual,birthday,United States,Magician
1979,9,19,Hermione Granger,annual,birthday,United Kingdom,Fictional
1948,9,20,George R. R. Martin,annual,birthday,United States,Literature
1897,9,25,William Faulkner,annual,birthday,United States,Literature
1947,9,21,Stephen King,annual,birthday,United States,Literature
-63,9,23,Augustus / Octavian,annual,birthday,Italy,Emperor
1914,10,1,Lê Trọng Tấn,annual,birthday,Vietnam,
1990,10,3,German Unity Day,annual,holiday,Germany,
1958,10,5,Neil deGrasse Tyson,annual,birthday,United States,Astrophysics
2013,10,8,World Dyslexia Day,annual,celebration,International,
1964,10,9,Guillermo del Toro,annual,birthday,United States,Director
1911,10,10,Lê Đức Thọ,annual,birthday,Vietnam,
1892,10,12,National Day,annual,holiday,Spain,
1925,10,13,Margaret Thatcher,annual,birthday,United Kingdom,Prime Minister
1844,10,15,Friedrich Nietzsche,annual,birthday,Germany,Philosophy
1854,10,16,Oscar Wilde,annual,birthday,United Kingdom,Literature
1972,10,17,Eminem,annual,birthday,United States,Rapper
1919,10,18,Pierre Trudeau,annual,birthday,Canada,Prime Minister
0,10,20,Women’s Day,annual,celebration,Vietnam,
1833,10,21,Alfred Nobel,annual,birthday,Sweden,Engineer
1954,10,23,Ang Lee,annual,birthday,Taiwan,Director
1881,10,25,Pablo Picasso,annual,birthday,Spain,Painter
1917,10,29,Nam Cao,annual,birthday,Vietnam,Literature
1930,10,31,Michael Collins,annual,birthday,United States,Astronaut
1952,11,2,Larry Fink,annual,birthday,United States,Banker
1913,11,7,Albert Camus,annual,birthday,France,Literature
1974,11,8,Masashi Kishimoto,annual,birthday,Japan,Mangaka
1847,11,8,Bram Stoker,annual,birthday,Japan,Literature
1989,11,9,Fall of the Berlin Wall,annual,milestone,Germany,
1483,11,10,Martin Luther,annual,birthday,Germany,Philosophy
1960,11,10,Neil Gaiman,annual,birthday,United Kingdom,Literature
1850,11,13,Robert Louis Stevenson,annual,birthday,United Kingdom,Literature
1923,11,15,Văn Cao,annual,birthday,Vietnam,Literature
1942,11,17,Martin Scorsese,annual,birthday,United States,Director
0,11,20,Teachers’ Day,annual,celebration,Vietnam,
1925,11,20,Robert F. Kennedy,annual,birthday,United States,Attorney General
1922,11,23,Võ Văn Kiệt,annual,birthday,Vietnam,
1962,11,28,Jon Stewart,annual,birthday,United States,Comedy
1898,11,29,C. S. Lewis,annual,birthday,United Kingdom,Literature
1835,11,30,Mark Twain,annual,birthday,United States,Literature
1940,12,1,Richard Pryor,annual,birthday,United States,Comedy
1933,12,1,Hiroshi Fujimoto,annual,birthday,Japan,Mangaka
1930,12,2,Gary Becker,annual,birthday,United States,Economist
1969,12,4,Jay-Z,annual,birthday,United States,Rapper
1995,12,4,JavaScript,annual,published,United States,Programming Language
1917,12,6,Independence Day,annual,holiday,Finland,
1948,12,10,Human Rights Day,annual,celebration,International,
1953,12,13,Ben Bernanke,annual,birthday,United States,Chair of the Federal Reserve
1971,12,13,J. Y. Park,annual,birthday,United States,Singer
1916,12,14,Shirley Jackson,annual,birthday,United Kingdom,Literature
1775,12,16,Jane Austen,annual,birthday,United Kingdom,Literature
1917,12,17,Arthur C. Clarke,annual,birthday,United Kingdom,Literature
1770,12,17,Ludwig van Beethoven,annual,baptism,Germany,Music
1946,12,18,Steven Spielberg,annual,birthday,United States,Director
1788,12,22,Quang Trung (Nguyễn Huệ)'s Coronation,annual,coronation,Vietnam,Monarch
1912,12,22,Hàn Mặc Tử,annual,birthday,Vietnam,Literature
0,12,24,Christmas Eve,annual,holiday,International,
0,12,25,Christmas Day,annual,holiday,International,
1867,12,26,Phan Bội Châu,annual,birthday,Vietnam,
1571,12,27,Johannes Kepler,annual,birthday,Germany,Mathematics
1969,12,28,Linus Torvalds,annual,birthday,Finland,Engineer
1903,12,28,John von Neumann,annual,birthday,United States,Mathematics
1922,12,28,Stan Lee,annual,birthday,United States,Comics
-1,12,31,International New Year's Eve,annual,holiday,International,
