year,month,date,title,frequency,type,country,field
1945,5,9,Jupp Heynckes,annual,birthday,Germany,Football
1988,5,10,Adam Lallana,annual,birthday,United Kingdom,Football
1984,5,11,Andrés Iniesta,annual,birthday,Spain,Football
1988,5,12,Marcelo Vieira,annual,birthday,Brazil,Football
1983,5,13,Yaya Touré,annual,birthday,Ivory Coast,Football
1997,5,15,Ousmane Dembélé,annual,birthday,France,Football
2002,5,16,Ryan Gravenberch,annual,birthday,Netherlands,Football
1979,5,19,Andrea Pirlo,annual,birthday,Italy,Football
1997,5,20,Mitoma Kaoru,annual,birthday,Japan,Football
1982,5,20,Petr Čech,annual,birthday,Czech,Football
1981,5,20,Iker Casillas,annual,birthday,Spain,Football
1946,5,22,George Best,annual,birthday,United Kingdom,Football
1987,5,22,Arturo Vidal,annual,birthday,Chile,Football
1973,5,24,Vladimír Šmicer,annual,birthday,Czech,Football
2005,5,25,Miracle of Istanbul,annual,milestone,United Kingdom,Football
1999,5,25,Ibrahima Konaté,annual,birthday,France,Football
1980,5,30,Steven Gerrard,annual,birthday,United Kingdom,Football
1985,6,4,Lukas Podolski,annual,birthday,Germany,Football
1992,6,6,Mohamed Salah,annual,birthday,Egypt,Football
1984,6,8,Javier Mascherano,annual,birthday,Argentina,Football
1984,6,9,Wesley Sneijder,annual,birthday,Netherlands,Football
1978,6,9,Miroslav Klose,annual,birthday,Germany,Football
1959,6,10,Carlo Ancelotti,annual,birthday,Italy,Football
1992,6,12,Philippe Coutinho,annual,birthday,Brazil,Football
1992,6,15,Mohamed Salah,annual,birthday,Egypt,Football
1964,6,15,Michael Laudrup,annual,birthday,Denmark,Football
1969,6,15,Oliver Kahn,annual,birthday,Germany,Football
1967,6,16,Jürgen Klopp,annual,birthday,Germany,Football
1990,6,17,Jordan Henderson,annual,birthday,United Kingdom,Football
1946,6,18,Fabio Capello,annual,birthday,Italy,Football
1978,6,20,Frank Lampard,annual,birthday,United Kingdom,Football
1955,6,21,Michel Platini,annual,birthday,France,Football
1996,6,22,Rodri,annual,birthday,Spain,Football
1972,6,23,Zinédine Zidane,annual,birthday,France,Football
1976,6,23,Patrick Vieira,annual,birthday,France,Football
1987,6,24,Lionel Messi,annual,birthday,Argentina,Football
1978,6,24,Luis García,annual,birthday,Spain,Football
1968,6,26,Paolo Maldini,annual,birthday,Italy,Football
2003,6,29,Jude Bellingham,annual,birthday,United Kingdom,Football
1976,7,1,Patrick Kluivert,annual,birthday,Netherlands,Football
1926,7,4,Alfredo Di Stéfano,annual,birthday,Spain,Football
1975,7,5,Hernán Crespo,annual,birthday,Argentina,Football
1991,7,8,Virgil van Dijk,annual,birthday,Netherlands,Football
1992,7,8,Son Heung-min,annual,birthday,Korea,Football
1991,7,12,James Rodríguez,annual,birthday,Colombia,Football
1988,7,16,Sergio Busquets,annual,birthday,Spain,Football
1989,7,16,Gareth Bale,annual,birthday,United Kingdom,Football
1972,7,17,Jaap Stam,annual,birthday,Netherlands,Football
2000,7,21,Erling Haaland,annual,birthday,Norway,Football
1980,7,22,Dirk Kuyt,annual,birthday,Netherlands,Football
1993,7,28,Harry Kane,annual,birthday,United Kingdom,Football
1964,7,30,Jürgen Klinsmann,annual,birthday,Germany,Football
1969,7,31,Antonio Conte,annual,birthday,Italy,Football
1970,8,1,David James,annual,birthday,United Kingdom,Football
1984,8,1,Bastian Schweinsteiger,annual,birthday,Germany,Football
1983,8,6,Robin van Persie,annual,birthday,Netherlands,Football
1991,8,8,Joël Matip,annual,birthday,Cameroon,Football
1951,8,8,Louis van Gaal,annual,birthday,Netherlands,Football
1973,8,9,Filippo Inzaghi,annual,birthday,Italy,Football
1967,8,11,Massimiliano Allegri,annual,birthday,Italy,Football
1984,8,14,Giorgio Chiellini,annual,birthday,Italy,Football
1977,8,17,Thierry Henry,annual,birthday,France,Football
1988,8,21,Robert Lewandowski,annual,birthday,Poland,Football
1973,8,29,Thomas Tuchel,annual,birthday,Germany,Football
1972,8,30,Pavel Nedvěd,annual,birthday,Czech,Football
1982,8,31,Pepe Reina,annual,birthday,Spain,Football
1962,9,1,Ruud Gullit,annual,birthday,Netherlands,Football
1985,9,9,Luka Modrić,annual,birthday,Croatia,Football
1945,9,11,Franz Beckenbauer,annual,birthday,Germany,Football
1989,9,13,Thomas Müller,annual,birthday,Germany,Football
1973,9,13,Fabio Cannavaro,annual,birthday,Italy,Football
1976,9,18,Ronaldo,annual,birthday,Brazil,Football
1963,9,19,David Seaman,annual,birthday,United Kingdom,Football
1978,9,22,Harry Kewell,annual,birthday,Australia,Football
1979,9,24,Fabio Aurelio,annual,birthday,Brazil,Football
1980,9,24,John Arne Riise,annual,birthday,Norway,Football
1976,9,26,Michael Ballack,annual,birthday,Germany,Football
1976,9,27,Francesco Totti,annual,birthday,Italy,Football
1976,9,29,Andriy Shevchenko,annual,birthday,Ukraine,Football
1962,9,30,Frank Rijkaard,annual,birthday,Netherlands,Football
1991,10,2,Roberto Firmino,annual,birthday,Brazil,Football
1992,10,2,Alisson Becker,annual,birthday,Brazil,Football
1973,10,7,Sami Hyypiä,annual,birthday,Finland,Football
1998,10,7,Trent Alexander-Arnold,annual,birthday,United Kingdom,Football
1937,10,11,Bobby Charlton,annual,birthday,United Kingdom,Football
1988,10,15,Mesut Özil,annual,birthday,Germany,Football
1929,10,22,Lev Ivanovich Yashin,annual,birthday,Russia,Football
1949,10,22,Arsène Wenger,annual,birthday,France,Football
1940,10,23,Pelé,annual,birthday,Brazil,Football
1993,10,23,Fabinho,annual,birthday,Brazil,Football
1985,10,24,Wayne Rooney,annual,birthday,United Kingdom,Football
2000,10,25,Dominik Szoboszlai,annual,birthday,Hungary,Football
1933,10,28,Garrincha,annual,birthday,Brazil,Football
1981,10,28,Milan Baroš,annual,birthday,Czech,Football
1973,10,29,Robert Pirès,annual,birthday,France,Football
1970,10,29,Edwin van der Sar,annual,birthday,Netherlands,Football
1960,10,30,Diego Maradona,annual,birthday,Argentina,Football
1964,10,31,Marco van Basten,annual,birthday,Netherlands,Football
1945,11,3,Gerd Müller,annual,birthday,Germany,Football
1972,11,4,Luís Figo,annual,birthday,Portugal,Football
1986,11,5,Kasper Schmeichel,annual,birthday,Denmark,Football
1978,11,7,Rio Ferdinand,annual,birthday,United Kingdom,Football
1990,11,7,David de Gea,annual,birthday,Spain,Football
1981,11,8,Joe Cole,annual,birthday,United Kingdom,Football
1946,11,8,Guus Hiddink,annual,birthday,Netherlands,Football
1974,11,9,Alessandro Del Piero,annual,birthday,Italy,Football
1969,11,10,Jens Lehmann,annual,birthday,Germany,Football
1983,11,11,Philipp Lahm,annual,birthday,Germany,Football
1990,11,11,Georginio Wijnaldum,annual,birthday,Netherlands,Football
1974,11,16,Paul Scholes,annual,birthday,United Kingdom,Football
1963,11,18,Peter Schmeichel,annual,birthday,Denmark,Football
1981,11,25,Xabi Alonso,annual,birthday,Spain,Football
1973,11,29,Ryan Giggs,annual,birthday,United Kingdom,Football
1981,12,3,David Villa,annual,birthday,Spain,Football
1996,12,4,Diogo Jota,annual,birthday,Portugal,Football
2001,12,12,Michael Olise,annual,birthday,United Kingdom,Football
1979,12,14,Michael Owen,annual,birthday,United Kingdom,Football
1987,12,19,Karim Benzema,annual,birthday,France,Football
1988,12,19,Alexis Sánchez,annual,birthday,Chile,Football
1980,12,20,Ashley Cole,annual,birthday,United Kingdom,Football
1998,12,20,Kylian Mbappé,annual,birthday,France,Football
1998,12,24,Alexis Mac Allister,annual,birthday,Argentina,Football
1941,12,31,Alex Ferguson,annual,birthday,United Kingdom,Football
1970,4,29,Andre Agassi,annual,birthday,United States,Tennis
2003,5,5,Carlos Alcaraz,annual,birthday,Spain,Tennis
1987,5,15,Andy Murray,annual,birthday,United Kingdom,Tennis
1987,5,22,Novak Djokovic,annual,birthday,Serbia,Tennis
1986,6,3,Rafael Nadal,annual,birthday,Spain,Tennis
1980,6,17,Venus Williams,annual,birthday,United States,Tennis
1981,8,8,Roger Federer,annual,birthday,Switzerland,Tennis
2001,8,16,Jannik Sinner,annual,birthday,Italy,Tennis
1981,9,26,Serena Williams,annual,birthday,United States,Tennis
1997,10,16,Naomi Osaka,annual,birthday,Japan,Tennis
1808,1,13,Salmon P. Chase,annual,birthday,United States,Supreme Court Chief Justice
1890,1,22,Fred M. Vinson,annual,birthday,United States,Supreme Court Chief Justice
1955,1,27,John Roberts,annual,birthday,United States,Supreme Court Chief Justice
1833,2,11,Melville Fuller,annual,birthday,United States,Supreme Court Chief Justice
1777,3,17,Roger B. Taney,annual,birthday,United States,Supreme Court Chief Justice
1891,3,19,Earl Warren,annual,birthday,United States,Supreme Court Chief Justice
1862,4,11,Charles Evans Hughes,annual,birthday,United States,Supreme Court Chief Justice
1745,4,29,Oliver Ellsworth,annual,birthday,United States,Supreme Court Chief Justice
1739,9,17,John Rutledge,annual,birthday,United States,Supreme Court Chief Justice
1907,9,17,Warren E. Burger,annual,birthday,United States,Supreme Court Chief Justice
1755,9,24,John Marshall,annual,birthday,United States,Supreme Court Chief Justice
1924,10,1,William Rehnquist,annual,birthday,United States,Supreme Court Chief Justice
1872,10,11,Harlan F. Stone,annual,birthday,United States,Supreme Court Chief Justice
1845,11,3,Edward Douglass White,annual,birthday,United States,Supreme Court Chief Justice
1816,11,29,Morrison Waite,annual,birthday,United States,Supreme Court Chief Justice
1745,12,23,John Jay,annual,birthday,United States,Supreme Court Chief Justice
1800,1,7,Millard Fillmore,annual,birthday,United States,President
1913,1,9,Richard Nixon,annual,birthday,United States,President
1843,1,29,William McKinley,annual,birthday,United States,President
1882,1,30,Franklin D. Roosevelt,annual,birthday,United States,President
1911,2,6,Ronald Reagan,annual,birthday,United States,President
1773,2,9,William Henry Harrison,annual,birthday,United States,President
1809,2,12,Abraham Lincoln,annual,birthday,United States,President
1732,2,22,George Washington,annual,birthday,United States,President
1767,3,15,Andrew Jackson,annual,birthday,United States,President
1751,3,16,James Madison,annual,birthday,United States,President
1837,3,18,Grover Cleveland,annual,birthday,United States,President
1790,3,29,John Tyler,annual,birthday,United States,President
1743,4,13,Thomas Jefferson,annual,birthday,United States,President
1791,4,23,James Buchanan,annual,birthday,United States,President
1822,4,27,Ulysses S. Grant,annual,birthday,United States,President
1758,4,28,James Monroe,annual,birthday,United States,President
1884,5,8,Harry S Truman,annual,birthday,United States,President
1917,5,29,John F. Kennedy,annual,birthday,United States,President
1924,6,12,George H. W. Bush,annual,birthday,United States,President
1946,6,14,Donald Trump,annual,birthday,United States,President
1872,7,4,Calvin Coolidge,annual,holiday,United States,President
1946,7,6,George W. Bush,annual,birthday,United States,President
1767,7,11,John Quincy Adams,annual,birthday,United States,President
1913,7,14,Gerald Ford,annual,birthday,United States,President
1961,8,4,Barack Obama,annual,birthday,United States,President
1874,8,10,Herbert Hoover,annual,birthday,United States,President
1946,8,19,Bill Clinton,annual,birthday,United States,President
1833,8,20,Benjamin Harrison,annual,birthday,United States,President
1908,8,27,Lyndon B. Johnson,annual,birthday,United States,President
1957,9,15,William Howard Taft,annual,birthday,United States,President
1924,10,1,Jimmy Carter,annual,birthday,United States,President
1822,10,4,Rutherford B. Hayes,annual,holiday,United States,President
1829,10,5,Chester A. Arthur,annual,holiday,United States,President
1890,10,14,Dwight D. Eisenhower,annual,birthday,United States,President
1858,10,27,Theodore Roosevelt,annual,birthday,United States,President
1735,10,30,John Adams,annual,birthday,United States,President
1795,11,2,James K. Polk,annual,birthday,United States,President
1865,11,2,Warren G. Harding,annual,birthday,United States,President
1831,11,19,James A. Garfield,annual,birthday,United States,President
1942,11,20,Joe Biden,annual,birthday,United States,President
1804,11,23,Franklin Pierce,annual,birthday,United States,President
1784,11,24,Zachary Taylor,annual,birthday,United States,President
1782,12,5,Martin Van Buren,annual,birthday,United States,President
1856,12,28,Woodrow Wilson,annual,birthday,United States,President
1808,12,29,Andrew Johnson,annual,birthday,United States,President
1909,2,9,Dean Rusk,annual,birthday,United States,Secretary of State
1888,2,25,John Foster Dulles,annual,birthday,United States,Secretary of State
1937,4,5,Colin Powell,annual,birthday,United States,Secretary of State
1893,4,11,Dean Acheson,annual,birthday,United States,Secretary of State
1930,4,28,James Baker,annual,birthday,United States,Secretary of State
1937,5,15,Madeleine Albright,annual,birthday,United States,Secretary of State
1801,5,16,William H. Seward,annual,birthday,United States,Secretary of State
1923,5,27,Henry Kissinger,annual,birthday,United States,Secretary of State
1871,10,2,Cordell Hull,annual,birthday,United States,Secretary of State
1947,10,26,Hillary Clinton,annual,birthday,United States,Secretary of State
1925,10,27,Warren Christopher,annual,birthday,United States,Secretary of State
1954,11,14,Condoleezza Rice,annual,birthday,United States,Secretary of State
1920,12,13,George Shultz,annual,birthday,United States,Secretary of State
1880,12,31,George C. Marshall,annual,birthday,United States,Secretary of State
1757,1,11,Alexander Hamilton,annual,birthday,United States,Secretary of the Treasury
1946,3,28,Henry Paulson,annual,birthday,United States,Secretary of the Treasury
1891,5,11,Henry Morgenthau Jr.,annual,birthday,United States,Secretary of the Treasury
1946,8,13,Janet Yellen,annual,birthday,United States,Secretary of the Treasury
1927,11,27,William E. Simon,annual,birthday,United States,Secretary of the Treasury
1750,1,1,Frederick Muhlenberg,annual,birthday,United States,Speaker of the House
1942,1,2,Dennis Hastert,annual,birthday,United States,Speaker of the House
1882,1,6,Sam Rayburn,annual,birthday,United States,Speaker of the House
1784,1,21,Andrew Stevenson,annual,birthday,United States,Speaker of the House
1965,1,26,Kevin McCarthy,annual,birthday,United States,Speaker of the House
1750,1,29,Joseph Bradley Varnum,annual,birthday,United States,Speaker of the House
1845,1,29,Charles F. Crisp,annual,birthday,United States,Speaker of the House
1970,1,29,Paul Ryan,annual,birthday,United States,Speaker of the House
1816,1,30,Nathaniel P. Banks,annual,birthday,United States,Speaker of the House
1836,1,30,J. Warren Keifer,annual,birthday,United States,Speaker of the House
1972,1,30,Mike Johnson,annual,birthday,United States,Speaker of the House
1830,1,31,James G. Blaine,annual,birthday,United States,Speaker of the House
1802,2,14,John D. White,annual,birthday,United States,Speaker of the House
1796,2,18,John Bell,annual,birthday,United States,Speaker of the House
1929,3,6,Tom Foley,annual,birthday,United States,Speaker of the House
1850,3,7,Champ Clark,annual,birthday,United States,Speaker of the House
1840,3,14,David B. Henderson,annual,birthday,United States,Speaker of the House
1827,3,15,Michael C. Kerr,annual,birthday,United States,Speaker of the House
1823,3,23,Schuyler Colfax,annual,birthday,United States,Speaker of the House
1940,3,26,Nancy Pelosi,annual,birthday,United States,Speaker of the House
1740,3,26,Jonathan Trumbull Jr.,annual,birthday,United States,Speaker of the House
1784,3,26,John W. Taylor,annual,birthday,United States,Speaker of the House
1777,4,12,Henry Clay,annual,birthday,United States,Speaker of the House
1874,4,12,William B. Bankhead,annual,birthday,United States,Speaker of the House
1799,4,16,John Wesley Davis,annual,birthday,United States,Speaker of the House
1809,4,21,Robert M. T. Hunter,annual,birthday,United States,Speaker of the House
1796,5,4,William Pennington,annual,birthday,United States,Speaker of the House
1836,5,7,Joseph Gurney Cannon,annual,birthday,United States,Speaker of the House
1746,5,9,Theodore Sedgwick,annual,birthday,United States,Speaker of the House
1908,5,10,Carl Albert,annual,birthday,United States,Speaker of the House
1809,5,12,Robert C. Winthrop,annual,birthday,United States,Speaker of the House
1822,5,12,James Lawrence Orr,annual,birthday,United States,Speaker of the House
1783,5,25,Philip P. Barbour,annual,birthday,United States,Speaker of the House
1943,6,17,Newt Gingrich,annual,birthday,United States,Speaker of the House
1869,7,20,Jo Byrns,annual,birthday,United States,Speaker of the House
1860,8,20,Henry T. Rainey,annual,birthday,United States,Speaker of the House
1823,8,31,Galusha A. Grow,annual,birthday,United States,Speaker of the House
1834,9,5,John G. Carlisle,annual,birthday,United States,Speaker of the House
1815,9,7,Howell Cobb,annual,birthday,United States,Speaker of the House
1776,9,17,Langdon Cheves,annual,birthday,United States,Speaker of the House
1828,10,10,Samuel J. Randall,annual,birthday,United States,Speaker of the House
1760,10,16,Jonathan Dayton,annual,birthday,United States,Speaker of the House
1851,10,16,Frederick H. Gillett,annual,birthday,United States,Speaker of the House
1839,10,18,Thomas Brackett Reed,annual,birthday,United States,Speaker of the House
1884,11,3,Joseph W. Martin Jr.,annual,birthday,United States,Speaker of the House
1869,11,5,Nicholas Longworth,annual,birthday,United States,Speaker of the House
1949,11,17,John Boehner,annual,birthday,United States,Speaker of the House
1791,11,22,John Winston Jones,annual,birthday,United States,Speaker of the House
1800,11,22,Linn Boyd,annual,birthday,United States,Speaker of the House
1868,11,22,John Nance Garner,annual,birthday,United States,Speaker of the House
1912,12,9,Tip O'Neill,annual,birthday,United States,Speaker of the House
1757,12,17,Nathaniel Macon,annual,birthday,United States,Speaker of the House
1891,12,21,John W. McCormack,annual,birthday,United States,Speaker of the House
1922,12,22,Jim Wright,annual,birthday,United States,Speaker of the House
1824,12,31,Theodore M. Pomeroy,annual,birthday,United States,Speaker of the House
